Region,Hospitalized with symptoms,Intensive care,Total hospitalized,Home isolated,Total positives,Healed/Discharged,Deceased,Cases of diagnostic suspicion,Cases from screening,Total cases,Tested cases
Abruzzo,32,2,34,475,509,2910,472,3417,474,3891,107501
Basilicata,4,1,5,118,123,413,28,411,153,564,58988
Calabria,25,0,25,324,349,1176,98,1159,464,1623,163844
Campania,221,7,228,2714,2942,4478,448,6932,936,7868,268075
Emilia-Romagna,124,14,138,3232,3370,24794,4464,29703,2925,32628,563905
Friuli Venezia Giulia,15,4,19,440,459,3115,349,3743,180,3923,158395
Lazio,355,10,365,3548,3913,7257,881,6853,5198,12051,536609
Liguria,62,9,71,697,768,8949,1575,8824,2468,11292,135222
Lombardia,248,25,273,7758,8031,76794,16880,92417,9288,101705,1053199
Marche,14,1,15,370,385,5990,988,7363,0,7363,127083
Molise,3,0,3,74,77,436,23,505,31,536,33934
P.A. Bolzano,8,2,10,208,218,2493,292,3003,0,3003,75898
P.A. Trento,5,0,5,293,298,4629,405,3531,1801,5332,86002
Piemonte,111,8,119,1608,1727,27379,4150,24235,9021,33256,376721
Puglia,155,7,162,1005,1167,4126,563,2070,3786,5856,231577
Sardegna,45,8,53,1032,1085,1284,136,1617,888,2505,124985
Sicilia,86,13,99,1235,1334,3093,289,3330,1386,4716,282977
Toscana,77,8,85,1909,1994,9277,1143,10869,1545,12414,390411
Umbria,13,2,15,341,356,1478,81,1536,379,1915,101440
Valle d'Aosta,1,0,1,33,34,1069,146,1119,130,1249,18011
Veneto,79,12,91,2848,2939,18875,2130,20096,3848,23944,643251
