Region,Hospitalized with symptoms,Intensive care,Total hospitalized,Home isolated,Total positives,Healed/Discharged,Deceased,Cases of diagnostic suspicion,Cases from screening,Total cases,Tested cases
Abruzzo,58,5,63,754,817,3023,477,3709,608,4317,124138
Basilicata,13,1,14,191,205,458,28,423,268,691,68857
Calabria,32,3,35,473,508,1300,98,1159,747,1906,191675
Campania,382,27,409,4849,5258,5638,459,9798,1557,11355,362048
Emilia-Romagna,189,18,207,4444,4651,25701,4481,30776,4057,34833,647139
Friuli Venezia Giulia,17,6,23,690,713,3463,350,4192,334,4526,177070
Lazio,563,36,599,5892,6491,8040,904,7739,7696,15435,695956
Liguria,145,17,162,1564,1726,9621,1597,9400,3544,12944,159717
Lombardia,300,30,330,8841,9171,79624,16937,94550,11182,105732,1265754
Marche,22,2,24,697,721,6140,990,7851,0,7851,141222
Molise,3,1,4,129,133,476,23,592,40,632,39893
P.A. Bolzano,20,1,21,493,514,2632,292,3438,0,3438,88792
P.A. Trento,13,0,13,535,548,4876,405,3699,2130,5829,95829
Piemonte,163,9,172,2330,2502,28138,4159,23289,11510,34799,420303
Puglia,208,10,218,2091,2309,4498,587,2304,5090,7394,279402
Sardegna,112,19,131,1653,1784,1596,148,1874,1654,3528,152652
Sicilia,235,13,248,2282,2530,3630,306,4281,2185,6466,337774
Toscana,87,24,111,3150,3261,9938,1156,11622,2733,14355,477064
Umbria,32,3,35,450,485,1748,85,1641,677,2318,117862
Valle d'Aosta,3,0,3,52,55,1087,146,1158,130,1288,19587
Veneto,140,19,159,3177,3336,21089,2173,20994,5604,26598,721936
